node_id,metric_result
0,"[0.50378404 0.87658032 1.03523979 1.083767   1.10573837 1.11803827
 1.1258409  1.13121093 1.13512401 1.13809824 1.14043327 1.14231403
 1.1438607  1.14515462 1.14625283 1.14719644 1.14801584 1.14873396
 1.14936844 1.14993305 1.1504387  1.15089414 1.15130648 1.15168156
 1.15202419]"
1,"[0.59560425 1.28060543 1.33319527 1.33789373 1.33868661 1.33889015
 1.33896924 1.3390133  1.33904403 1.33906793 1.33908747 1.33910383
 1.33911774 1.33912967 1.33913999 1.33914897 1.33915684 1.33916378
 1.33916993 1.3391754  1.3391803  1.33918469 1.33918866 1.33919225
 1.33919552]"
2,"[0.63917336 1.19157637 1.34386153 1.41232223 1.45062366 1.47479981
 1.49134676 1.50334603 1.51243016 1.5195391  1.5252502  1.52993684
 1.53385084 1.53716803 1.54001483 1.54248438 1.54464683 1.54655598
 1.54825379 1.54977345 1.55114155 1.55237967 1.55350545 1.5545335
 1.55547601]"
3,"[0.72305456 1.28963781 1.3198896  1.30405454 1.28861408 1.27710515
 1.2687444  1.2625804  1.25792959 1.25433706 1.25150137 1.24921959
 1.24735214 1.24580086 1.24449523 1.24338358 1.24242732 1.24159718
 1.24087062 1.24023001 1.23966143 1.23915374 1.23869792 1.23828663
 1.23791382]"
4,"[0.8813042  0.74538916 0.62290341 0.55957049 0.52394313 0.50263866
 0.4891806  0.48024389 0.47404514 0.46958232 0.46626603 0.46373453
 0.4617572  0.46018187 0.45890517 0.4578549  0.45697951 0.45624136
 0.45561249 0.45507176 0.45460294 0.45419343 0.45383328 0.45351458
 0.45323096]"
5,"[0.94300861 1.34737751 1.45390056 1.49203055 1.50984434 1.51968166
 1.52574959 1.52979512 1.53265141 1.53475842 1.53636729 1.53763044
 1.5386451  1.53947588 1.54016719 1.54075047 1.54124855 1.54167836
 1.54205269 1.54238139 1.54267214 1.54293101 1.54316286 1.54337163
 1.54356054]"
6,"[0.7831807  1.23706826 1.32822469 1.34715086 1.35220708 1.35359046
 1.35379639 1.35359195 1.35324891 1.35287184 1.3525022  1.35215577
 1.35183748 1.35154755 1.35128429 1.35104531 1.3508281  1.35063026
 1.3504496  1.35028418 1.35013229 1.34999244 1.34986332 1.3497438
 1.34963288]"
7,"[0.46617379 0.63680276 0.6388417  0.63023462 0.6267913  0.62579539
 0.62574127 0.62603957 0.62645811 0.62690239 0.6273338  0.62773746
 0.62810886 0.62844807 0.62875704 0.62903845 0.62929506 0.62952952
 0.62974427 0.62994147 0.63012302 0.63029061 0.63044571 0.6305896
 0.63072341]"
8,"[0.53606959 1.10489361 1.20398589 1.24022504 1.25888073 1.27020145
 1.27777919 1.28319593 1.28725527 1.29040778 1.29292521 1.294981
 1.2966909  1.29813509 1.29937082 1.30044003 1.30137415 1.30219719
 1.3029278  1.3035807  1.30416761 1.30469805 1.30517977 1.30561919
 1.30602163]"
9,"[0.90595266 1.31942383 1.40101384 1.42298137 1.43217597 1.43706076
 1.44003806 1.44202141 1.44342751 1.44447138 1.44527431 1.44590954
 1.44642371 1.44684781 1.44720323 1.44750515 1.44776463 1.4479899
 1.44818723 1.44836144 1.44851633 1.44865491 1.4487796  1.44889236
 1.44899481]"
